Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
47.0,-0.975125789642334,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
54.0,-0.975125789642334,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
66.0,-0.975125789642334,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
74.0,-0.975125789642334,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
67.0,-0.8007054328918457,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
68.0,-0.8007054328918457,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
71.0,-0.8007054328918457,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
72.0,-0.8007054328918457,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
30.0,-0.9902150630950928,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
26.0,-0.9902150630950928,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
35.0,-0.9902150630950928,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
35.0,-0.9902150630950928,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
68.0,-1.148360252380371,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
81.0,-1.148360252380371,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
81.0,-1.148360252380371,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
86.0,-1.148360252380371,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
71.0,-1.0805258750915527,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
72.0,-1.0805258750915527,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
82.0,-1.0805258750915527,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
83.0,-1.0805258750915527,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
33.0,-0.7428553104400635,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
35.0,-0.7428553104400635,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
37.0,-0.7428553104400635,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
37.0,-0.7428553104400635,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
56.0,-1.1476335525512695,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
72.0,-1.1476335525512695,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
78.0,-1.1476335525512695,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
82.0,-1.1476335525512695,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
62.0,-1.2734272480010986,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
57.0,-1.2734272480010986,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
73.0,-1.2734272480010986,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
79.0,-1.2734272480010986,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
