Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
100.0,-0.14351987838745117,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.14351987838745117,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.14351987838745117,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.14351987838745117,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.14351987838745117,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.14351987838745117,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
95.0,-0.1397535800933838,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
99.0,-0.1397535800933838,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.1397535800933838,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.1397535800933838,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.1397535800933838,50,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.1397535800933838,75,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.1397535800933838,100,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.14981865882873535,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.14981865882873535,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.14981865882873535,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.14981865882873535,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.14981865882873535,50,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.14981865882873535,75,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.14981865882873535,100,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
88.0,-0.14677166938781738,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.14677166938781738,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.14677166938781738,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.14677166938781738,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14677166938781738,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14677166938781738,75,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14677166938781738,100,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.1381053924560547,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1381053924560547,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1381053924560547,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1381053924560547,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1381053924560547,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1381053924560547,75,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.1381053924560547,100,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
88.0,-0.14100003242492676,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.14100003242492676,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.14100003242492676,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14100003242492676,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14100003242492676,50,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14100003242492676,75,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14100003242492676,100,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14673089981079102,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14673089981079102,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14673089981079102,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14673089981079102,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14673089981079102,50,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14673089981079102,75,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14673089981079102,100,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,-0.14057111740112305,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.14057111740112305,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,-0.14057111740112305,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,-0.14057111740112305,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.14057111740112305,50,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14057111740112305,75,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14057111740112305,100,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,-0.14225387573242188,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14225387573242188,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14225387573242188,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14225387573242188,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14225387573242188,50,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14225387573242188,75,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,-0.14225387573242188,100,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.0,-0.00029969215393066406,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
89.0,-0.00029969215393066406,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
89.0,-0.00029969215393066406,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
91.0,-0.00029969215393066406,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.0,-0.00029969215393066406,50,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,-0.00029969215393066406,75,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,-0.00029969215393066406,100,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.0003113746643066406,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.0003113746643066406,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.0003113746643066406,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.0003113746643066406,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.0003113746643066406,50,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.0003113746643066406,75,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.0003113746643066406,100,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
96.0,-0.032506465911865234,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.032506465911865234,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.032506465911865234,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.032506465911865234,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.032506465911865234,50,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.032506465911865234,75,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.032506465911865234,100,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.03310823440551758,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
