Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
79.0,-0.03724265098571777,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
83.0,-0.03724265098571777,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
50.0,-0.040413856506347656,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
73.0,-0.040413856506347656,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
87.0,-0.040413856506347656,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
84.0,-0.040413856506347656,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
42.0,-0.03995108604431152,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
43.0,-0.03995108604431152,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
58.0,-0.03995108604431152,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
67.0,-0.03995108604431152,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.0,-0.03602457046508789,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
88.0,-0.03602457046508789,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
91.0,-0.03602457046508789,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
91.0,-0.03602457046508789,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
84.0,-0.037865400314331055,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
91.0,-0.037865400314331055,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
92.0,-0.037865400314331055,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
92.0,-0.037865400314331055,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
