Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
96.0,-0.022654294967651367,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
97.0,-0.022654294967651367,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.0,-0.0001513957977294922,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
85.0,-0.0001513957977294922,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
94.0,-0.0001513957977294922,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
94.0,-0.0001513957977294922,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
67.0,-0.00030493736267089844,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
74.0,-0.00030493736267089844,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
92.0,-0.00030493736267089844,30,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
92.0,-0.00030493736267089844,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
81.0,-0.00018405914306640625,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,-0.00018405914306640625,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,-0.00018405914306640625,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,-0.00018405914306640625,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
85.0,-0.11527872085571289,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
94.0,-0.11527872085571289,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
98.0,-0.11527872085571289,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
98.0,-0.11527872085571289,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
92.0,-0.008863449096679688,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
92.0,-0.008863449096679688,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
94.0,-0.008863449096679688,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
94.0,-0.008863449096679688,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
88.0,-0.03144192695617676,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
96.0,-0.03144192695617676,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
98.0,-0.03144192695617676,30,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.0,-0.03144192695617676,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
87.0,-2.1862123012542725,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
96.0,-2.1862123012542725,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.0,-2.1862123012542725,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.0,-2.1862123012542725,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
90.0,-2.1731221675872803,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
97.0,-2.1731221675872803,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
97.0,-2.1731221675872803,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
98.0,-2.1731221675872803,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
90.0,-2.148983955383301,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
98.0,-2.148983955383301,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
99.0,-2.148983955383301,30,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
99.0,-2.148983955383301,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
84.0,-0.3502182960510254,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.0,-0.3502182960510254,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.0,-0.3502182960510254,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.0,-0.3502182960510254,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
94.0,-0.35623764991760254,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
