Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
95.7,-0.11700732707977295,2.9832867780352594,15,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
92.9,-0.09351952075958252,2.514402955419481,15,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
90.0,-0.00012362003326416016,3.4960294939005094,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
90.7,-0.00015823841094970704,2.79085809185793,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
86.1,-0.00016193389892578126,7.202622979011033,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
94.0,-0.012909674644470214,1.8257418583505545,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
97.7,-0.01168825626373291,0.8232726023485651,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
95.6,-0.057276010513305664,1.5055453054181622,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
95.0,-1.2448604345321654,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
94.0,-1.2969930648803711,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
92.0,-1.3274606466293335,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,-1.2086919784545898,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
81.0,-1.1065772771835327,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.0,-1.2082328796386719,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.5034895896911621,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
93.0,-0.4931330680847168,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
90.0,-0.5206626653671265,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
93.7,-6.476305294036865,1.8287822299126928,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
98.0,-6.458662629127502,1.154700538379251,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
96.3,-6.491834568977356,1.7669811040931418,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
94.0,-0.0854412317276001,2.4494897427831774,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
94.1,-0.08298594951629638,2.726414006223804,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
